               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         912K  32.5T      0      7      0  24.6K
ost1         912K  32.5T      0      7      0  25.8K
ost2         912K  32.5T      0      7      0  27.2K
ost3         912K  32.5T      0      8      0  28.7K
ost4         912K  32.5T      0      8      0  30.4K
ost5         912K  32.5T      0      8      0  27.3K
----------  -----  -----  -----  -----  -----  -----
ost0        60.7G  32.4T      5  1.09K  22.8K   923M
ost1        59.1G  32.4T      4  1.04K  18.7K   909M
ost2        58.9G  32.4T      4  1.04K  20.2K   906M
ost3        60.8G  32.4T      5  1.09K  21.9K   933M
ost4        61.5G  32.4T      5  1.08K  21.3K   938M
ost5        58.4G  32.4T      4  1.03K  19.0K   899M
----------  -----  -----  -----  -----  -----  -----
ost0         117G  32.4T      4  1.13K  17.1K   853M
ost1         116G  32.4T      4  1.05K  19.5K   854M
ost2         115G  32.4T      5  1.05K  20.7K   854M
ost3         117G  32.4T      4  1.08K  19.1K   851M
ost4         118G  32.4T      4  1.11K  19.7K   855M
ost5         116G  32.4T      4  1.04K  18.7K   860M
----------  -----  -----  -----  -----  -----  -----
ost0         172G  32.3T      1  1.23K  13.9K   842M
ost1         171G  32.3T      2  1.14K  12.1K   840M
ost2         171G  32.3T      2  1.16K  13.9K   839M
ost3         173G  32.3T      1  1.24K  11.7K   846M
ost4         173G  32.3T      2  1.20K  16.1K   836M
ost5         171G  32.3T      2  1.12K  14.1K   843M
----------  -----  -----  -----  -----  -----  -----
ost0         227G  32.3T      1  1.21K  17.7K   829M
ost1         226G  32.3T      1  1.18K  15.9K   832M
ost2         226G  32.3T      1  1.20K  15.9K   841M
ost3         228G  32.3T      1  1.23K  11.7K   836M
ost4         228G  32.3T      1  1.23K  10.1K   837M
ost5         226G  32.3T      1  1.17K  15.6K   837M
----------  -----  -----  -----  -----  -----  -----
ost0         281G  32.2T      2  1.14K  13.7K   836M
ost1         281G  32.2T      2  1.13K  16.6K   833M
ost2         281G  32.2T      2  1.15K  14.2K   830M
ost3         283G  32.2T      2  1.15K  13.4K   831M
ost4         282G  32.2T      2  1.14K  13.9K   825M
ost5         281G  32.2T      2  1.12K  14.5K   829M
----------  -----  -----  -----  -----  -----  -----
ost0         336G  32.2T      2  1.15K  10.3K   826M
ost1         335G  32.2T      2  1.12K  10.8K   825M
ost2         334G  32.2T      3  1.09K  12.1K   817M
ost3         336G  32.2T      2  1.15K  13.8K   819M
ost4         336G  32.2T      2  1.14K  11.4K   826M
ost5         334G  32.2T      2  1.09K  11.9K   821M
----------  -----  -----  -----  -----  -----  -----
ost0         390G  32.1T      1  1.19K  6.33K   819M
ost1         389G  32.1T      1  1.13K  10.7K   822M
ost2         389G  32.1T      1  1.11K  6.80K   827M
ost3         391G  32.1T      1  1.21K  12.0K   827M
ost4         390G  32.1T      1  1.16K  6.47K   821M
ost5         389G  32.1T      1  1.10K  7.20K   820M
----------  -----  -----  -----  -----  -----  -----
ost0         444G  32.1T      1  1.17K  6.53K   817M
ost1         443G  32.1T      1  1.16K  15.0K   828M
ost2         443G  32.1T      1  1.12K  7.20K   822M
ost3         445G  32.1T      1  1.20K  14.7K   821M
ost4         444G  32.1T      1  1.13K  6.33K   818M
ost5         443G  32.1T      1  1.11K  6.73K   826M
----------  -----  -----  -----  -----  -----  -----
ost0         498G  32.0T      1  1.17K  7.67K   818M
ost1         498G  32.0T      1  1.18K  14.6K   817M
ost2         497G  32.0T      1  1.13K  6.80K   815M
ost3         499G  32.0T      1  1.17K  11.9K   818M
ost4         498G  32.0T      1  1.16K  7.53K   823M
ost5         497G  32.0T      1  1.12K  7.07K   820M
----------  -----  -----  -----  -----  -----  -----
ost0         551G  32.0T      2  1.12K  9.94K   821M
ost1         551G  32.0T      2  1.09K  11.6K   813M
ost2         550G  32.0T      2  1.09K  10.9K   814M
ost3         552G  32.0T      2  1.14K  9.21K   815M
ost4         552G  32.0T      2  1.12K  10.3K   811M
ost5         551G  32.0T      2  1.08K  10.3K   817M
----------  -----  -----  -----  -----  -----  -----
