               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         456K  29.0T      0      8  63.5K   229K
ost1         468K  29.0T      0      8  66.6K   242K
ost2         456K  29.0T      1      9  69.9K   252K
ost3         456K  29.0T      1      9  73.6K   265K
ost4         456K  29.0T      1      9  77.6K   276K
ost5         456K  29.0T      1      9  82.4K   293K
----------  -----  -----  -----  -----  -----  -----
ost0        65.4G  28.9T      5  1.23K   354K  1.09G
ost1        67.5G  28.9T      3  1.23K   237K  1.14G
ost2        67.1G  28.9T      4  1.22K   257K  1.12G
ost3        66.2G  28.9T      5  1.24K   370K  1.11G
ost4        66.5G  28.9T      6  1.24K   394K  1.11G
ost5        66.2G  28.9T      4  1.22K   301K  1.12G
----------  -----  -----  -----  -----  -----  -----
ost0         128G  28.9T      8  1.21K   549K  1.05G
ost1         131G  28.9T      7  1.18K   466K  1.05G
ost2         130G  28.9T      6  1.17K   425K  1.05G
ost3         129G  28.9T      7  1.20K   510K  1.05G
ost4         129G  28.9T      8  1.20K   514K  1.05G
ost5         129G  28.9T      7  1.17K   462K  1.05G
----------  -----  -----  -----  -----  -----  -----
ost0         190G  28.8T      8  1.19K   531K  1.03G
ost1         192G  28.8T      7  1.17K   507K  1.03G
ost2         191G  28.8T      7  1.15K   453K  1.02G
ost3         191G  28.8T      8  1.19K   561K  1.03G
ost4         191G  28.8T      8  1.19K   551K  1.03G
ost5         191G  28.8T      7  1.17K   497K  1.03G
----------  -----  -----  -----  -----  -----  -----
ost0         251G  28.8T      9  1.18K   580K  1.01G
ost1         251G  28.8T      8  1.15K   565K  1.00G
ost2         251G  28.8T      7  1.15K   505K  1.01G
ost3         251G  28.8T      8  1.18K   573K  1.01G
ost4         252G  28.8T      9  1.17K   611K  1.01G
ost5         251G  28.8T      8  1.16K   565K  1023M
----------  -----  -----  -----  -----  -----  -----
ost0         312G  28.7T      8  1.19K   548K  1.02G
ost1         314G  28.7T      7  1.16K   475K  1.02G
ost2         312G  28.7T      7  1.14K   451K  1.01G
ost3         312G  28.7T      8  1.19K   526K  1.02G
ost4         312G  28.7T      8  1.18K   549K  1.01G
ost5         311G  28.7T      7  1.16K   492K  1.01G
----------  -----  -----  -----  -----  -----  -----
ost0         371G  28.6T      9  1.19K   627K  1021M
ost1         374G  28.6T      8  1.16K   522K  1022M
ost2         372G  28.6T      7  1.14K   478K  1.00G
ost3         372G  28.6T      8  1.18K   561K  1024M
ost4         372G  28.6T      9  1.18K   579K  1021M
ost5         371G  28.6T      8  1.16K   558K  1020M
----------  -----  -----  -----  -----  -----  -----
ost0         431G  28.6T      9  1.19K   598K  1021M
ost1         433G  28.6T      8  1.16K   543K  1019M
ost2         432G  28.6T      7  1.13K   475K  1017M
ost3         431G  28.6T      8  1.17K   561K  1019M
ost4         431G  28.6T      9  1.17K   577K  1017M
ost5         431G  28.6T      8  1.16K   535K  1017M
----------  -----  -----  -----  -----  -----  -----
ost0         490G  28.5T      9  1.18K   580K  1008M
ost1         492G  28.5T      8  1.14K   562K  1003M
ost2         491G  28.5T      7  1.12K   467K  1010M
ost3         490G  28.5T      8  1.16K   573K  1008M
ost4         490G  28.5T      8  1.17K   561K  1011M
ost5         490G  28.5T      8  1.16K   548K  1014M
----------  -----  -----  -----  -----  -----  -----
