               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         456K  29.0T      0      6  47.0K   171K
ost1         456K  29.0T      0      6  48.6K   175K
ost2         456K  29.0T      0      6  50.3K   183K
ost3         456K  29.0T      0      6  52.2K   188K
ost4         456K  29.0T      0      6  54.2K   192K
ost5         456K  29.0T      0      6  56.3K   200K
----------  -----  -----  -----  -----  -----  -----
ost0        67.3G  28.9T      5  1.25K   358K  1.13G
ost1        67.5G  28.9T      4  1.24K   279K  1.14G
ost2        66.3G  28.9T      4  1.21K   278K  1.11G
ost3        66.6G  28.9T      4  1.22K   270K  1.12G
ost4        65.5G  28.9T      5  1.22K   381K  1.10G
ost5        67.5G  28.9T      4  1.24K   298K  1.14G
----------  -----  -----  -----  -----  -----  -----
ost0         131G  28.9T      8  1.21K   533K  1.05G
ost1         131G  28.9T      6  1.18K   438K  1.05G
ost2         129G  28.9T      6  1.17K   441K  1.05G
ost3         130G  28.9T      7  1.18K   462K  1.05G
ost4         128G  28.9T      8  1.20K   512K  1.05G
ost5         131G  28.9T      7  1.19K   461K  1.05G
----------  -----  -----  -----  -----  -----  -----
ost0         192G  28.8T      8  1.20K   555K  1.03G
ost1         192G  28.8T      7  1.15K   473K  1.02G
ost2         191G  28.8T      6  1.15K   437K  1.03G
ost3         191G  28.8T      8  1.16K   521K  1.02G
ost4         190G  28.8T      8  1.19K   533K  1.03G
ost5         192G  28.8T      7  1.17K   503K  1.02G
----------  -----  -----  -----  -----  -----  -----
ost0         252G  28.8T      9  1.20K   600K  1.02G
ost1         253G  28.8T      8  1.15K   522K  1.01G
ost2         252G  28.8T      7  1.16K   504K  1.01G
ost3         251G  28.8T      8  1.17K   516K  1.02G
ost4         250G  28.8T      9  1.18K   586K  1.02G
ost5         253G  28.8T      8  1.16K   551K  1.01G
----------  -----  -----  -----  -----  -----  -----
ost0         314G  28.7T      8  1.19K   547K  1.01G
ost1         314G  28.7T      6  1.15K   438K  1.02G
ost2         312G  28.7T      6  1.14K   445K  1.01G
ost3         313G  28.7T      7  1.15K   484K  1.01G
ost4         311G  28.7T      8  1.18K   554K  1.01G
ost5         314G  28.7T      7  1.16K   474K  1.02G
----------  -----  -----  -----  -----  -----  -----
ost0         374G  28.6T      9  1.19K   599K  1.01G
ost1         374G  28.6T      8  1.15K   518K  1.00G
ost2         372G  28.6T      8  1.15K   521K  1023M
ost3         373G  28.6T      8  1.15K   526K  1023M
ost4         372G  28.6T      9  1.18K   588K  1.01G
ost5         373G  28.6T      8  1.16K   540K  1020M
----------  -----  -----  -----  -----  -----  -----
ost0         434G  28.6T      8  1.17K   571K  1020M
ost1         433G  28.6T      7  1.14K   512K  1016M
ost2         432G  28.6T      7  1.14K   487K  1021M
ost3         433G  28.6T      7  1.16K   509K  1.00G
ost4         431G  28.6T      8  1.17K   570K  1021M
ost5         433G  28.6T      8  1.15K   521K  1016M
----------  -----  -----  -----  -----  -----  -----
ost0         493G  28.5T      8  1.17K   562K  1019M
ost1         493G  28.5T      8  1.16K   531K  1016M
ost2         491G  28.5T      7  1.14K   503K  1013M
ost3         492G  28.5T      8  1.15K   542K  1005M
ost4         491G  28.5T      8  1.18K   557K  1011M
ost5         492G  28.5T      8  1.15K   544K  1013M
----------  -----  -----  -----  -----  -----  -----
