               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         936K  32.5T      0      3      0  12.0K
ost1         936K  32.5T      0      3      0  12.3K
ost2         936K  32.5T      0      3      0  12.6K
ost3         936K  32.5T      0      3      0  13.0K
ost4         936K  32.5T      0      3      0  13.4K
ost5         936K  32.5T      0      3      0  11.9K
----------  -----  -----  -----  -----  -----  -----
ost0        71.1G  32.4T      4  1.22K  16.3K  1.07G
ost1        68.8G  32.4T      2  1.17K  9.53K  1.06G
ost2        67.9G  32.4T      2  1.14K  11.7K  1.02G
ost3        73.6G  32.4T      1  1.23K  7.87K  1.13G
ost4        70.7G  32.4T      3  1.21K  13.1K  1.08G
ost5        65.7G  32.4T      2  1.12K  9.60K  1.01G
----------  -----  -----  -----  -----  -----  -----
ost0         146G  32.4T      4  1.29K  20.3K  1.12G
ost1         145G  32.4T      2  1.19K  10.9K  1.10G
ost2         144G  32.4T      2  1.22K  8.67K  1.15G
ost3         155G  32.3T      2  1.27K  12.0K  1.17G
ost4         148G  32.4T      4  1.29K  18.2K  1.14G
ost5         143G  32.4T      2  1.23K  9.00K  1.15G
----------  -----  -----  -----  -----  -----  -----
ost0         222G  32.3T      3  1.33K  15.5K  1.13G
ost1         223G  32.3T      1  1.23K  7.27K  1.16G
ost2         220G  32.3T      2  1.20K  9.27K  1.12G
ost3         229G  32.3T      3  1.23K  15.4K  1.10G
ost4         226G  32.3T      3  1.29K  14.3K  1.14G
ost5         221G  32.3T      2  1.20K  9.20K  1.12G
----------  -----  -----  -----  -----  -----  -----
ost0         298G  32.2T      3  1.33K  18.3K  1.11G
ost1         299G  32.2T      1  1.21K  7.41K  1.15G
ost2         294G  32.2T      2  1.20K  9.01K  1.12G
ost3         305G  32.2T      2  1.26K  12.1K  1.13G
ost4         303G  32.2T      2  1.29K  11.9K  1.14G
ost5         293G  32.2T      2  1.19K  9.01K  1.11G
----------  -----  -----  -----  -----  -----  -----
ost0         374G  32.1T      3  1.33K  13.7K  1.14G
ost1         377G  32.1T      2  1.22K  8.13K  1.15G
ost2         371G  32.1T      1  1.23K  6.47K  1.16G
ost3         382G  32.1T      2  1.27K  12.0K  1.14G
ost4         378G  32.1T      3  1.30K  12.9K  1.12G
ost5         371G  32.1T      2  1.19K  9.73K  1.11G
----------  -----  -----  -----  -----  -----  -----
ost0         451G  32.1T      2  1.36K  10.9K  1.13G
ost1         452G  32.1T      1  1.18K  7.87K  1.10G
ost2         453G  32.1T      1  1.23K  6.73K  1.15G
ost3         458G  32.1T      2  1.34K  8.73K  1.15G
ost4         455G  32.1T      2  1.34K  8.60K  1.14G
ost5         445G  32.1T      1  1.23K  7.33K  1.16G
----------  -----  -----  -----  -----  -----  -----
ost0         527G  32.0T      2  1.35K  10.0K  1.14G
ost1         529G  32.0T      1  1.24K  5.41K  1.14G
ost2         529G  32.0T      1  1.23K  6.54K  1.13G
ost3         538G  32.0T      1  1.33K  7.01K  1.17G
ost4         532G  32.0T      1  1.34K  7.94K  1.13G
ost5         524G  32.0T      1  1.24K  6.34K  1.14G
----------  -----  -----  -----  -----  -----  -----
