               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T      1    730  7.23K   633M
ost1         576G  31.9T      0    678  3.96K   635M
ost2         576G  31.9T      1    681  4.33K   638M
ost3         576G  31.9T      1    713  6.03K   640M
ost4         576G  31.9T      1    719  6.42K   643M
ost5         576G  31.9T      1    688  4.08K   645M
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.48K      0  1.47G      0
ost1         576G  31.9T  1.37K      0  1.36G      0
ost2         576G  31.9T  1.38K      0  1.37G      0
ost3         576G  31.9T  1.44K      0  1.43G      0
ost4         576G  31.9T  1.50K      0  1.49G      0
ost5         576G  31.9T  1.38K      0  1.37G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.50K      0  1.49G      0
ost1         576G  31.9T  1.39K      0  1.38G      0
ost2         576G  31.9T  1.39K      0  1.38G      0
ost3         576G  31.9T  1.44K      0  1.43G      0
ost4         576G  31.9T  1.50K      0  1.49G      0
ost5         576G  31.9T  1.40K      0  1.39G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.48K      0  1.47G      0
ost1         576G  31.9T  1.38K      0  1.37G      0
ost2         576G  31.9T  1.39K      0  1.38G      0
ost3         576G  31.9T  1.45K      0  1.44G      0
ost4         576G  31.9T  1.50K      0  1.49G      0
ost5         576G  31.9T  1.38K      0  1.37G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.47K      0  1.46G      0
ost1         576G  31.9T  1.37K      0  1.35G      0
ost2         576G  31.9T  1.40K      0  1.39G      0
ost3         576G  31.9T  1.45K      0  1.44G      0
ost4         576G  31.9T  1.49K      0  1.48G      0
ost5         576G  31.9T  1.40K      0  1.39G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.46K      0  1.45G      0
ost1         576G  31.9T  1.35K      0  1.34G      0
ost2         576G  31.9T  1.39K      0  1.38G      0
ost3         576G  31.9T  1.44K      0  1.43G      0
ost4         576G  31.9T  1.49K      0  1.48G      0
ost5         576G  31.9T  1.40K      0  1.39G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.22K      5  1.20G  20.5K
ost1         576G  31.9T  1.35K      0  1.33G      0
ost2         576G  31.9T  1.40K      0  1.38G      0
ost3         576G  31.9T  1.39K      2  1.37G  10.1K
ost4         576G  31.9T  1.14K      5  1.12G  19.7K
ost5         576G  31.9T  1.43K      0  1.40G      0
----------  -----  -----  -----  -----  -----  -----
