               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T      1    670  4.89K   622M
ost1         642G  35.6T      1    677  4.87K   625M
ost2         642G  35.6T      1    674  4.64K   629M
ost3         642G  35.6T      1    683  4.77K   633M
ost4         642G  35.6T      1    691  5.19K   637M
ost5         642G  35.6T      1    695  5.18K   641M
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.52K      0  1.51G      0
ost1         642G  35.6T  1.45K      0  1.44G      0
ost2         642G  35.6T  1.44K      0  1.43G      0
ost3         642G  35.6T  1.49K      0  1.48G      0
ost4         642G  35.6T  1.50K      0  1.49G      0
ost5         642G  35.6T  1.48K      0  1.47G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.51K      0  1.50G      0
ost1         642G  35.6T  1.45K      0  1.44G      0
ost2         642G  35.6T  1.46K      0  1.44G      0
ost3         642G  35.6T  1.50K      0  1.49G      0
ost4         642G  35.6T  1.51K      0  1.50G      0
ost5         642G  35.6T  1.49K      0  1.47G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.51K      0  1.50G      0
ost1         642G  35.6T  1.45K      0  1.44G      0
ost2         642G  35.6T  1.45K      0  1.44G      0
ost3         642G  35.6T  1.50K      0  1.49G      0
ost4         642G  35.6T  1.51K      0  1.50G      0
ost5         642G  35.6T  1.48K      0  1.47G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.51K      0  1.50G      0
ost1         642G  35.6T  1.45K      0  1.44G      0
ost2         642G  35.6T  1.45K      0  1.44G      0
ost3         642G  35.6T  1.50K      0  1.49G      0
ost4         642G  35.6T  1.51K      0  1.49G      0
ost5         642G  35.6T  1.49K      0  1.47G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.52K      0  1.51G      0
ost1         642G  35.6T  1.46K      0  1.44G      0
ost2         642G  35.6T  1.46K      0  1.44G      0
ost3         642G  35.6T  1.50K      0  1.48G      0
ost4         642G  35.6T  1.51K      0  1.49G      0
ost5         642G  35.6T  1.48K      0  1.47G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.03K      5  1.01G  20.3K
ost1         642G  35.6T  1.35K      5  1.32G  20.5K
ost2         642G  35.6T  1.36K      5  1.34G  20.3K
ost3         642G  35.6T  1.12K      5  1.10G  20.5K
ost4         642G  35.6T  1.03K      5  1.01G  20.1K
ost5         642G  35.6T  1.19K      8  1.17G  30.8K
----------  -----  -----  -----  -----  -----  -----
