               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T      5  1.21K   379K  1.11G
ost1         512G  28.5T      2  1.17K   186K  1.11G
ost2         512G  28.5T      2  1.18K   181K  1.12G
ost3         512G  28.5T      5  1.23K   341K  1.13G
ost4         512G  28.5T      5  1.24K   372K  1.14G
ost5         512G  28.5T      2  1.20K   186K  1.14G
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.53K      0  1.52G      0
ost1         512G  28.5T  1.42K      0  1.42G      0
ost2         512G  28.5T  1.44K      0  1.43G      0
ost3         512G  28.5T  1.53K      0  1.52G      0
ost4         512G  28.5T  1.54K      0  1.54G      0
ost5         512G  28.5T  1.43K      0  1.43G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.53K      0  1.53G      0
ost1         512G  28.5T  1.43K      0  1.42G      0
ost2         512G  28.5T  1.43K      0  1.43G      0
ost3         512G  28.5T  1.53K      0  1.52G      0
ost4         512G  28.5T  1.54K      0  1.53G      0
ost5         512G  28.5T  1.44K      0  1.43G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.52K      0  1.51G      0
ost1         512G  28.5T  1.43K      0  1.42G      0
ost2         512G  28.5T  1.44K      0  1.43G      0
ost3         512G  28.5T  1.53K      0  1.52G      0
ost4         512G  28.5T  1.54K      0  1.53G      0
ost5         512G  28.5T  1.44K      0  1.43G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.53K      0  1.52G      0
ost1         512G  28.5T  1.44K      0  1.43G      0
ost2         512G  28.5T  1.44K      0  1.43G      0
ost3         512G  28.5T  1.53K      0  1.51G      0
ost4         512G  28.5T  1.54K      0  1.53G      0
ost5         512G  28.5T  1.45K      0  1.44G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.52K      0  1.51G      0
ost1         512G  28.5T  1.44K      0  1.43G      0
ost2         512G  28.5T  1.44K      0  1.43G      0
ost3         512G  28.5T  1.52K      0  1.50G      0
ost4         512G  28.5T  1.52K      0  1.51G      0
ost5         512G  28.5T  1.45K      0  1.44G      0
----------  -----  -----  -----  -----  -----  -----
