               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         912K  32.5T      0      2      0  7.40K
ost1         912K  32.5T      0      2      0  7.66K
ost2         912K  32.5T      0      2      0  7.79K
ost3         912K  32.5T      0      2      0  8.00K
ost4         912K  32.5T      0      2      0  8.22K
ost5         912K  32.5T      0      2      0  7.18K
----------  -----  -----  -----  -----  -----  -----
ost0        57.7G  32.4T      5  1.05K    22K   890M
ost1        57.0G  32.4T      4  1.02K  18.3K   879M
ost2        57.1G  32.4T      5  1.01K  21.1K   868M
ost3        57.2G  32.4T      5  1.05K  21.6K   875M
ost4        56.6G  32.4T      5  1.04K    22K   866M
ost5        55.9G  32.4T      4     1K  18.7K   856M
----------  -----  -----  -----  -----  -----  -----
ost0         113G  32.4T      3  1.12K  16.1K   826M
ost1         111G  32.4T      4  1.04K  19.3K   814M
ost2         111G  32.4T      4  1.05K  18.5K   821M
ost3         111G  32.4T      4  1.08K  17.3K   816M
ost4         111G  32.4T      4  1.10K  16.9K   819M
ost5         110G  32.4T      4  1.03K  17.6K   816M
----------  -----  -----  -----  -----  -----  -----
ost0         165G  32.3T      1  1.24K  13.0K   801M
ost1         165G  32.3T      2  1.12K  17.8K   811M
ost2         163G  32.3T      2  1.15K  13.6K   802M
ost3         164G  32.3T      1  1.17K  16.7K   805M
ost4         163G  32.3T      1  1.19K  19.1K   805M
ost5         162G  32.3T      2  1.09K  17.3K   805M
----------  -----  -----  -----  -----  -----  -----
ost0         218G  32.3T      1  1.20K  14.3K   806M
ost1         216G  32.3T      1  1.15K  16.4K   798M
ost2         216G  32.3T      1  1.16K  14.4K   803M
ost3         217G  32.3T      1  1.20K  11.5K   802M
ost4         216G  32.3T      1  1.19K  12.7K   806M
ost5         215G  32.3T      1  1.14K  15.5K   795M
----------  -----  -----  -----  -----  -----  -----
ost0         270G  32.2T      2  1.12K  9.61K   784M
ost1         269G  32.2T      1  1.11K  13.9K   790M
ost2         269G  32.2T      1  1.12K  13.3K   792M
ost3         269G  32.2T      2  1.13K  9.74K   792M
ost4         268G  32.2T      2  1.10K  11.4K   785M
ost5         267G  32.2T      1  1.11K  12.7K   792M
----------  -----  -----  -----  -----  -----  -----
ost0         322G  32.2T      2  1.13K  10.9K   796M
ost1         322G  32.2T      2  1.09K  10.1K   795M
ost2         321G  32.2T      2  1.09K  10.7K   797M
ost3         321G  32.2T      2  1.12K  9.47K   792M
ost4         321G  32.2T      2  1.12K  10.9K   800M
ost5         319G  32.2T      2  1.05K  10.8K   799M
----------  -----  -----  -----  -----  -----  -----
ost0         375G  32.1T      1  1.18K  6.53K   791M
ost1         373G  32.1T      1  1.11K  6.87K   787M
ost2         373G  32.1T      1  1.15K  14.6K   795M
ost3         373G  32.1T      1  1.15K  5.67K   788M
ost4         373G  32.1T      1  1.15K  5.33K   792M
ost5         372G  32.1T      2  1.04K  11.2K   792M
----------  -----  -----  -----  -----  -----  -----
ost0         426G  32.1T      1  1.15K  6.07K   781M
ost1         425G  32.1T      1  1.10K  7.00K   791M
ost2         425G  32.1T      1  1.15K  11.6K   785M
ost3         425G  32.1T      1  1.12K  5.93K   788M
ost4         425G  32.1T      1  1.16K  5.40K   791M
ost5         424G  32.1T      1  1.10K  7.07K   784M
----------  -----  -----  -----  -----  -----  -----
ost0         478G  32.0T      1  1.17K  6.00K   788M
ost1         477G  32.0T      1  1.10K  6.00K   778M
ost2         476G  32.0T      1  1.13K  15.0K   788M
ost3         476G  32.0T      1  1.13K  6.40K   781M
ost4         476G  32.0T      1  1.15K  6.13K   784M
ost5         475G  32.0T      2  1.08K  12.1K   782M
----------  -----  -----  -----  -----  -----  -----
ost0         529G  32.0T      2  1.11K  10.6K   785M
ost1         528G  32.0T      1  1.09K  7.87K   782M
ost2         528G  32.0T      2  1.08K  12.4K   779M
ost3         528G  32.0T      2  1.09K  10.1K   785M
ost4         528G  32.0T      2  1.09K  9.81K   784M
ost5         527G  32.0T      3  1.08K  16.5K   784M
----------  -----  -----  -----  -----  -----  -----
