               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T      2  1.04K  11.2K   751M
ost1         576G  31.9T      2  1.01K  13.0K   754M
ost2         576G  31.9T      2  1.01K  11.5K   757M
ost3         576G  31.9T      2  1.06K  12.5K   761M
ost4         576G  31.9T      2  1.05K  11.0K   764M
ost5         576G  31.9T      2  1.01K  11.5K   766M
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.26K      0  1.25G      0
ost1         576G  31.9T  1.24K      0  1.22G      0
ost2         576G  31.9T  1.23K      0  1.22G      0
ost3         576G  31.9T  1.25K      0  1.24G      0
ost4         576G  31.9T  1.26K      0  1.25G      0
ost5         576G  31.9T  1.23K      0  1.22G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.22K      0  1.20G      0
ost1         576G  31.9T  1.20K      0  1.18G      0
ost2         576G  31.9T  1.19K      0  1.18G      0
ost3         576G  31.9T  1.21K      0  1.20G      0
ost4         576G  31.9T  1.23K      0  1.21G      0
ost5         576G  31.9T  1.22K      0  1.20G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.29K      0  1.27G      0
ost1         576G  31.9T  1.26K      0  1.24G      0
ost2         576G  31.9T  1.25K      0  1.23G      0
ost3         576G  31.9T  1.27K      0  1.25G      0
ost4         576G  31.9T  1.27K      0  1.25G      0
ost5         576G  31.9T  1.28K      0  1.25G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.35K      0  1.33G      0
ost1         576G  31.9T  1.33K      0  1.30G      0
ost2         576G  31.9T  1.33K      0  1.30G      0
ost3         576G  31.9T  1.34K      0  1.32G      0
ost4         576G  31.9T  1.35K      0  1.33G      0
ost5         576G  31.9T  1.34K      0  1.32G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.32K      0  1.31G      0
ost1         576G  31.9T  1.32K      0  1.30G      0
ost2         576G  31.9T  1.30K      0  1.28G      0
ost3         576G  31.9T  1.33K      0  1.31G      0
ost4         576G  31.9T  1.35K      0  1.33G      0
ost5         576G  31.9T  1.33K      0  1.31G      0
----------  -----  -----  -----  -----  -----  -----
ost0         576G  31.9T  1.34K      0  1.32G      0
ost1         576G  31.9T  1.31K      0  1.29G      0
ost2         576G  31.9T  1.30K      0  1.28G      0
ost3         576G  31.9T  1.33K      0  1.31G      0
ost4         576G  31.9T  1.34K      0  1.32G      0
ost5         576G  31.9T  1.33K      0  1.31G      0
----------  -----  -----  -----  -----  -----  -----
