               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T      1    701  4.66K   653M
ost1         642G  35.6T      1    702  4.71K   656M
ost2         630G  35.6T      1    703  4.46K   655M
ost3         642G  35.6T      1    706  4.52K   661M
ost4         642G  35.6T      1    710  4.53K   664M
ost5         642G  35.6T      1    715  4.61K   666M
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.26K      0  1.25G      0
ost1         642G  35.6T  1.24K      0  1.23G      0
ost2         642G  35.6T  1.14K     47  1.13G  43.3M
ost3         642G  35.6T  1.25K      0  1.24G      0
ost4         642G  35.6T  1.27K      0  1.26G      0
ost5         642G  35.6T  1.25K      0  1.24G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.22K      0  1.21G      0
ost1         642G  35.6T  1.21K      0  1.21G      0
ost2         642G  35.6T  1.21K      0  1.20G      0
ost3         642G  35.6T  1.22K      0  1.21G      0
ost4         642G  35.6T  1.22K      0  1.21G      0
ost5         642G  35.6T  1.23K      0  1.22G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.25K      0  1.24G      0
ost1         642G  35.6T  1.24K      0  1.23G      0
ost2         642G  35.6T  1.23K      0  1.22G      0
ost3         642G  35.6T  1.24K      0  1.23G      0
ost4         642G  35.6T  1.25K      0  1.24G      0
ost5         642G  35.6T  1.26K      0  1.25G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.21K      0  1.21G      0
ost1         642G  35.6T  1.22K      0  1.21G      0
ost2         642G  35.6T  1.20K      0  1.20G      0
ost3         642G  35.6T  1.21K      0  1.21G      0
ost4         642G  35.6T  1.22K      0  1.21G      0
ost5         642G  35.6T  1.22K      0  1.21G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.24K      0  1.23G      0
ost1         642G  35.6T  1.23K      0  1.22G      0
ost2         642G  35.6T  1.23K      0  1.22G      0
ost3         642G  35.6T  1.23K      0  1.22G      0
ost4         642G  35.6T  1.25K      0  1.24G      0
ost5         642G  35.6T  1.24K      0  1.24G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.14K      0  1.14G      0
ost1         642G  35.6T  1.13K      0  1.13G      0
ost2         642G  35.6T  1.12K      0  1.11G      0
ost3         642G  35.6T  1.14K      0  1.13G      0
ost4         642G  35.6T  1.14K      0  1.13G      0
ost5         642G  35.6T  1.14K      0  1.14G      0
----------  -----  -----  -----  -----  -----  -----
ost0         642G  35.6T  1.06K      5  1.05G  20.1K
ost1         642G  35.6T  1.22K      0  1.21G  1.57K
ost2         642G  35.6T  1.15K      2  1.14G  9.87K
ost3         642G  35.6T  1.20K      2  1.19G  10.3K
ost4         642G  35.6T  1.17K      5  1.16G  19.9K
ost5         642G  35.6T  1.04K      7  1.03G  30.2K
----------  -----  -----  -----  -----  -----  -----
