               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0        1.34M  36.2T      0      6      0  23.7K
ost1        1.34M  36.2T      0      7      0  24.8K
ost2        1.34M  36.2T      0      7      0  26.1K
ost3        1.34M  36.2T      0      8      0  27.5K
ost4        1.34M  36.2T      0      8      0  29.1K
ost5        1.34M  36.2T      0      7      0  26.2K
----------  -----  -----  -----  -----  -----  -----
ost0        48.9G  36.2T      0    718  3.33K   674M
ost1        48.9G  36.2T      0    757  2.67K   717M
ost2        50.3G  36.2T      0    725  2.73K   684M
ost3        49.8G  36.2T      0    776  2.47K   735M
ost4        48.2G  36.2T      0    744  2.67K   705M
ost5        48.7G  36.2T      0    732  2.00K   690M
----------  -----  -----  -----  -----  -----  -----
ost0        97.9G  36.2T      1    712  5.47K   662M
ost1         105G  36.1T      1    777  4.47K   736M
ost2         100G  36.2T      1    772  4.73K   729M
ost3         100G  36.2T      1    731  4.40K   691M
ost4         103G  36.1T      1    772  4.53K   730M
ost5        97.2G  36.2T      0    752  3.93K   710M
----------  -----  -----  -----  -----  -----  -----
ost0         151G  36.1T      1    799  6.47K   751M
ost1         154G  36.1T      1    783  5.73K   737M
ost2         156G  36.1T      0    798  3.80K   760M
ost3         150G  36.1T      1    790  5.27K   745M
ost4         152G  36.1T      1    702  7.60K   645M
ost5         146G  36.1T      1    677  8.13K   612M
----------  -----  -----  -----  -----  -----  -----
ost0         206G  36.0T      1    776  6.20K   720M
ost1         217G  36.0T      1    829  5.33K   778M
ost2         207G  36.0T      1    737  5.53K   680M
ost3         213G  36.0T      1    793  5.20K   740M
ost4         201G  36.1T      1    757  5.93K   698M
ost5         196G  36.1T      1    727  6.40K   664M
----------  -----  -----  -----  -----  -----  -----
ost0         254G  36.0T      1    746  5.80K   692M
ost1         265G  36.0T      1    715  7.14K   652M
ost2         258G  36.0T      1    765  5.27K   713M
ost3         268G  36.0T      1    802  4.67K   755M
ost4         260G  36.0T      1    813  5.01K   762M
ost5         245G  36.0T      1    749  5.07K   697M
----------  -----  -----  -----  -----  -----  -----
ost0         308G  35.9T      1    774  5.94K   725M
ost1         316G  35.9T      1    791  5.93K   744M
ost2         310G  35.9T      1    764  4.73K   722M
ost3         322G  35.9T      1    760  5.80K   713M
ost4         316G  35.9T      1    814  5.67K   769M
ost5         297G  36.0T      1    741  7.01K   685M
----------  -----  -----  -----  -----  -----  -----
ost0         360G  35.9T      1    759  6.73K   711M
ost1         376G  35.9T      1    805  6.67K   758M
ost2         363G  35.9T      1    718  7.67K   667M
ost3         380G  35.9T      1    837  6.67K   792M
ost4         367G  35.9T      1    763  6.47K   715M
ost5         344G  35.9T      1    712  7.60K   661M
----------  -----  -----  -----  -----  -----  -----
ost0         413G  35.8T      1    756  5.67K   704M
ost1         430G  35.8T      1    810  5.73K   762M
ost2         411G  35.8T      1    734  7.33K   668M
ost3         430G  35.8T      1    755  6.20K   709M
ost4         422G  35.8T      1    802  6.00K   752M
ost5         398G  35.9T      1    806  5.87K   748M
----------  -----  -----  -----  -----  -----  -----
ost0         463G  35.8T      1    750  4.93K   681M
ost1         483G  35.8T      1    774  5.67K   708M
ost2         459G  35.8T      1    703  5.67K   630M
ost3         487G  35.8T      1    825  5.13K   764M
ost4         476G  35.8T      1    786  4.20K   724M
ost5         460G  35.8T      1    867  4.67K   814M
----------  -----  -----  -----  -----  -----  -----
ost0         517G  35.7T      0    786  3.67K   734M
ost1         537G  35.7T      0    781  4.94K   724M
ost2         515G  35.7T      0    815  3.21K   766M
ost3         535G  35.7T      0    737  4.21K   683M
ost4         525G  35.7T      0    749  3.88K   694M
ost5         511G  35.8T      0    794  3.53K   741M
----------  -----  -----  -----  -----  -----  -----
ost0         570G  35.7T      0    802  2.60K   765M
ost1         590G  35.7T      0    810  3.07K   772M
ost2         568G  35.7T      0    796  2.73K   759M
ost3         592G  35.7T      0    813  3.13K   773M
ost4         581G  35.7T      0    810  2.73K   770M
ost5         571G  35.7T      0    798  2.81K   754M
----------  -----  -----  -----  -----  -----  -----
ost0         623G  35.6T      1    796  4.80K   732M
ost1         642G  35.6T      1    718  5.33K   654M
ost2         621G  35.6T      1    751  5.07K   692M
ost3         642G  35.6T      1    700  6.47K   641M
ost4         633G  35.6T      1    776  4.60K   722M
ost5         625G  35.6T      0    827  3.00K   778M
----------  -----  -----  -----  -----  -----  -----
