               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T      7  1.07K   503K   932M
ost1         512G  28.5T      6  1.04K   432K   936M
ost2         512G  28.5T      6  1.04K   415K   941M
ost3         512G  28.5T      7  1.07K   492K   946M
ost4         512G  28.5T      7  1.08K   502K   950M
ost5         512G  28.5T      7  1.06K   457K   955M
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.31K      0  1.30G      0
ost1         512G  28.5T  1.28K      0  1.27G      0
ost2         512G  28.5T  1.27K      0  1.26G      0
ost3         512G  28.5T  1.29K      0  1.29G      0
ost4         512G  28.5T  1.29K      0  1.28G      0
ost5         512G  28.5T  1.26K      0  1.24G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.44K      0  1.43G      0
ost1         512G  28.5T  1.39K      0  1.38G      0
ost2         512G  28.5T  1.39K      0  1.38G      0
ost3         512G  28.5T  1.42K      0  1.42G      0
ost4         512G  28.5T  1.43K      0  1.42G      0
ost5         512G  28.5T  1.37K      0  1.36G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.31K      0  1.30G      0
ost1         512G  28.5T  1.28K      0  1.27G      0
ost2         512G  28.5T  1.28K      0  1.27G      0
ost3         512G  28.5T  1.30K      0  1.29G      0
ost4         512G  28.5T  1.30K      0  1.30G      0
ost5         512G  28.5T  1.27K      0  1.26G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.03K      0  1.03G      0
ost1         512G  28.5T  1.03K      0  1.02G      0
ost2         512G  28.5T  1.03K      0  1.02G      0
ost3         512G  28.5T  1.03K      0  1.02G      0
ost4         512G  28.5T  1.03K      0  1.03G      0
ost5         512G  28.5T  1.03K      0  1.03G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T    966      0   963M      0
ost1         512G  28.5T    942      0   936M      0
ost2         512G  28.5T    934      0   929M      0
ost3         512G  28.5T    957      0   952M      0
ost4         512G  28.5T    964      0   959M      0
ost5         512G  28.5T    952      0   947M      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T    961      0   957M      0
ost1         512G  28.5T    942      0   937M      0
ost2         512G  28.5T    942      0   938M      0
ost3         512G  28.5T    945      0   942M      0
ost4         512G  28.5T    950      0   946M      0
ost5         512G  28.5T    946      0   942M      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T    930      0   927M      0
ost1         512G  28.5T    914      0   909M      0
ost2         512G  28.5T    916      0   912M      0
ost3         512G  28.5T    926      0   922M      0
ost4         512G  28.5T    923      0   920M      0
ost5         512G  28.5T    927      0   923M      0
----------  -----  -----  -----  -----  -----  -----
