               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T      7  1.05K   492K   920M
ost1         512G  28.5T      6  1.03K   443K   924M
ost2         512G  28.5T      6  1.02K   405K   928M
ost3         512G  28.5T      7  1.06K   485K   933M
ost4         512G  28.5T      7  1.07K   500K   938M
ost5         512G  28.5T      7  1.05K   459K   942M
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.04K      0  1.03G      0
ost1         512G  28.5T  1.02K      0  1.01G      0
ost2         512G  28.5T  1.02K      0  1.01G      0
ost3         512G  28.5T  1.04K      0  1.04G      0
ost4         512G  28.5T  1.04K      0  1.03G      0
ost5         512G  28.5T  1.04K      0  1.04G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.31K      0  1.31G      0
ost1         512G  28.5T  1.25K      0  1.24G      0
ost2         512G  28.5T  1.26K      0  1.25G      0
ost3         512G  28.5T  1.31K      0  1.30G      0
ost4         512G  28.5T  1.31K      0  1.30G      0
ost5         512G  28.5T  1.31K      0  1.30G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.29K      0  1.28G      0
ost1         512G  28.5T  1.26K      0  1.25G      0
ost2         512G  28.5T  1.25K      0  1.25G      0
ost3         512G  28.5T  1.31K      0  1.30G      0
ost4         512G  28.5T  1.31K      0  1.30G      0
ost5         512G  28.5T  1.29K      0  1.28G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.36K      0  1.35G      0
ost1         512G  28.5T  1.34K      0  1.33G      0
ost2         512G  28.5T  1.33K      0  1.32G      0
ost3         512G  28.5T  1.35K      0  1.34G      0
ost4         512G  28.5T  1.38K      0  1.37G      0
ost5         512G  28.5T  1.36K      0  1.35G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.36K      0  1.35G      0
ost1         512G  28.5T  1.33K      0  1.32G      0
ost2         512G  28.5T  1.32K      0  1.31G      0
ost3         512G  28.5T  1.33K      0  1.33G      0
ost4         512G  28.5T  1.36K      0  1.36G      0
ost5         512G  28.5T  1.33K      0  1.32G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.22K      0  1.22G      0
ost1         512G  28.5T  1.22K      0  1.21G      0
ost2         512G  28.5T  1.22K      0  1.21G      0
ost3         512G  28.5T  1.23K      0  1.22G      0
ost4         512G  28.5T  1.25K      0  1.25G      0
ost5         512G  28.5T  1.22K      0  1.21G      0
----------  -----  -----  -----  -----  -----  -----
