               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T      7  1.01K   472K   889M
ost1         512G  28.5T      6   1015   409K   893M
ost2         512G  28.5T      6   1015   399K   897M
ost3         512G  28.5T      6  1.00K   425K   901M
ost4         512G  28.5T      7  1.03K   474K   905M
ost5         512G  28.5T      6  1.01K   435K   909M
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.25K      0  1.24G      0
ost1         512G  28.5T  1.21K      0  1.21G      0
ost2         512G  28.5T  1.21K      0  1.20G      0
ost3         512G  28.5T  1.25K      0  1.24G      0
ost4         512G  28.5T  1.25K      0  1.24G      0
ost5         512G  28.5T  1.21K      0  1.20G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.37K      0  1.36G      0
ost1         512G  28.5T  1.35K      0  1.34G      0
ost2         512G  28.5T  1.33K      0  1.32G      0
ost3         512G  28.5T  1.37K      0  1.36G      0
ost4         512G  28.5T  1.39K      0  1.38G      0
ost5         512G  28.5T  1.36K      0  1.35G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.25K      0  1.24G      0
ost1         512G  28.5T  1.23K      0  1.22G      0
ost2         512G  28.5T  1.22K      0  1.22G      0
ost3         512G  28.5T  1.25K      0  1.24G      0
ost4         512G  28.5T  1.26K      0  1.26G      0
ost5         512G  28.5T  1.25K      0  1.24G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.13K      0  1.12G      0
ost1         512G  28.5T  1.12K      0  1.11G      0
ost2         512G  28.5T  1.11K      0  1.10G      0
ost3         512G  28.5T  1.12K      0  1.11G      0
ost4         512G  28.5T  1.13K      0  1.12G      0
ost5         512G  28.5T  1.13K      0  1.12G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.29K      0  1.29G      0
ost1         512G  28.5T  1.25K      0  1.24G      0
ost2         512G  28.5T  1.25K      0  1.24G      0
ost3         512G  28.5T  1.27K      0  1.26G      0
ost4         512G  28.5T  1.29K      0  1.28G      0
ost5         512G  28.5T  1.27K      0  1.26G      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T    971      0   968M      0
ost1         512G  28.5T    951      0   946M      0
ost2         512G  28.5T    940      0   935M      0
ost3         512G  28.5T    953      0   949M      0
ost4         512G  28.5T    972      0   968M      0
ost5         512G  28.5T    948      0   942M      0
----------  -----  -----  -----  -----  -----  -----
ost0         512G  28.5T  1.19K      0  1.18G      0
ost1         512G  28.5T  1.16K      0  1.15G      0
ost2         512G  28.5T  1.15K      0  1.15G      0
ost3         512G  28.5T  1.17K      0  1.16G      0
ost4         512G  28.5T  1.17K      0  1.16G      0
ost5         512G  28.5T  1.17K      0  1.17G      0
----------  -----  -----  -----  -----  -----  -----
