               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0        1.37M  36.2T      0      0      0    335
ost1        1.37M  36.2T      0      0      0    335
ost2        1.37M  36.2T      0      0      0    335
ost3        1.37M  36.2T      0      0      0    335
ost4        1.37M  36.2T      0      0      0    289
ost5        1.37M  36.2T      0      0      0    289
----------  -----  -----  -----  -----  -----  -----
ost0        42.0G  36.2T      0    736  2.00K   700M
ost1        52.3G  36.2T      0    782  2.53K   744M
ost2        43.5G  36.2T      0    681  2.67K   638M
ost3        46.4G  36.2T      0    682  3.33K   637M
ost4        51.1G  36.2T      0    735  2.67K   696M
ost5        52.1G  36.2T      0    770  2.60K   733M
----------  -----  -----  -----  -----  -----  -----
ost0         102G  36.2T      1    735  6.40K   683M
ost1         106G  36.1T      1    781  4.53K   739M
ost2        95.5G  36.2T      1    730  6.00K   680M
ost3        96.8G  36.2T      1    782  5.40K   737M
ost4         100G  36.2T      1    767  4.13K   728M
ost5         104G  36.1T      1    786  4.27K   744M
----------  -----  -----  -----  -----  -----  -----
ost0         155G  36.1T      1    774  5.80K   727M
ost1         159G  36.1T      1    752  5.73K   704M
ost2         147G  36.1T      1    758  6.27K   707M
ost3         149G  36.1T      1    774  7.53K   720M
ost4         154G  36.1T      1    720  5.53K   672M
ost5         157G  36.1T      1    756  6.00K   707M
----------  -----  -----  -----  -----  -----  -----
ost0         204G  36.1T      1    772  6.00K   716M
ost1         203G  36.1T      1    693  6.53K   630M
ost2         198G  36.1T      1    750  6.07K   690M
ost3         207G  36.0T      1    813  4.93K   764M
ost4         208G  36.0T      1    791  5.60K   738M
ost5         207G  36.0T      1    761  5.53K   707M
----------  -----  -----  -----  -----  -----  -----
ost0         256G  36.0T      1    807  4.74K   761M
ost1         253G  36.0T      1    711  6.67K   652M
ost2         246G  36.0T      1    706  6.07K   650M
ost3         258G  36.0T      1    738  6.87K   677M
ost4         259G  36.0T      1    770  5.94K   718M
ost5         261G  36.0T      1    813  5.67K   758M
----------  -----  -----  -----  -----  -----  -----
ost0         312G  35.9T      1    763  6.67K   716M
ost1         305G  36.0T      1    744  7.47K   686M
ost2         298G  36.0T      1    755  5.34K   709M
ost3         306G  36.0T      1    733  7.60K   680M
ost4         308G  35.9T      1    724  7.20K   670M
ost5         321G  35.9T      1    785  6.27K   738M
----------  -----  -----  -----  -----  -----  -----
ost0         367G  35.9T      2    775  8.07K   720M
ost1         353G  35.9T      2    720  8.07K   663M
ost2         350G  35.9T      1    748  7.33K   697M
ost3         361G  35.9T      1    814  6.40K   766M
ost4         362G  35.9T      1    767  7.80K   714M
ost5         374G  35.9T      1    761  7.20K   710M
----------  -----  -----  -----  -----  -----  -----
ost0         415G  35.8T      1    720  6.27K   663M
ost1         403G  35.9T      1    793  6.13K   733M
ost2         400G  35.9T      1    734  7.27K   674M
ost3         414G  35.8T      1    763  7.93K   700M
ost4         419G  35.8T      1    822  5.40K   776M
ost5         424G  35.8T      1    772  7.47K   713M
----------  -----  -----  -----  -----  -----  -----
ost0         466G  35.8T      1    766  5.47K   695M
ost1         458G  35.8T      1    779  4.53K   712M
ost2         445G  35.8T      1    741  4.93K   676M
ost3         468G  35.8T      1    776  5.60K   701M
ost4         474G  35.8T      0    799  4.47K   745M
ost5         479G  35.8T      1    782  4.13K   725M
----------  -----  -----  -----  -----  -----  -----
ost0         520G  35.7T      1    767  4.27K   705M
ost1         507G  35.8T      1    742  4.73K   678M
ost2         496G  35.8T      1    731  5.07K   662M
ost3         522G  35.7T      1    803  4.81K   740M
ost4         529G  35.7T      1    839  4.27K   779M
ost5         532G  35.7T      1    801  4.54K   743M
----------  -----  -----  -----  -----  -----  -----
ost0         574G  35.7T      1    786  5.73K   727M
ost1         559G  35.7T      1    760  4.74K   691M
ost2         541G  35.7T      0    768  3.67K   711M
ost3         571G  35.7T      1    752  4.27K   694M
ost4         585G  35.7T      1    802  5.13K   746M
ost5         586G  35.7T      1    769  6.13K   706M
----------  -----  -----  -----  -----  -----  -----
ost0         624G  35.6T      0    803  3.87K   741M
ost1         610G  35.7T      1    774  4.20K   709M
ost2         597G  35.7T      1    760  4.93K   684M
ost3         624G  35.6T      1    775  4.40K   711M
ost4         637G  35.6T      1    767  5.27K   708M
ost5         636G  35.6T      1    747  5.67K   681M
----------  -----  -----  -----  -----  -----  -----
