               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0        1.37M  36.2T      0      3      0  11.6K
ost1        1.37M  36.2T      0      3      0  12.0K
ost2        1.37M  36.2T      0      3      0  12.5K
ost3        1.37M  36.2T      0      3      0  12.8K
ost4        1.37M  36.2T      0      4      0  18.8K
ost5        1.37M  36.2T      0      3      0  12.0K
----------  -----  -----  -----  -----  -----  -----
ost0        52.8G  36.2T      0    759  2.47K   720M
ost1        47.5G  36.2T      0    712  2.67K   672M
ost2        48.2G  36.2T      0    702  2.67K   662M
ost3        44.1G  36.2T      0    714  2.33K   676M
ost4        49.8G  36.2T      0    754  2.93K   714M
ost5        44.8G  36.2T      0    674  2.47K   633M
----------  -----  -----  -----  -----  -----  -----
ost0         104G  36.1T      1    759     4K   720M
ost1        98.7G  36.2T      1    725  5.73K   679M
ost2        97.5G  36.2T      1    733  5.80K   684M
ost3        99.0G  36.2T      1    743  5.80K   695M
ost4         108G  36.1T      0    825  3.87K   787M
ost5        87.8G  36.2T      1    642  6.73K   590M
----------  -----  -----  -----  -----  -----  -----
ost0         151G  36.1T      1    743  6.40K   694M
ost1         148G  36.1T      1    753  7.00K   701M
ost2         150G  36.1T      1    761  6.20K   715M
ost3         153G  36.1T      1    815  6.93K   767M
ost4         158G  36.1T      1    703  6.13K   651M
ost5         136G  36.1T      1    735  8.07K   678M
----------  -----  -----  -----  -----  -----  -----
ost0         202G  36.1T      1    727  6.73K   668M
ost1         195G  36.1T      1    692  5.93K   636M
ost2         203G  36.1T      1    763  6.20K   708M
ost3         205G  36.1T      1    734  6.07K   677M
ost4         213G  36.0T      1    804  5.27K   753M
ost5         192G  36.1T      1    797  4.80K   748M
----------  -----  -----  -----  -----  -----  -----
ost0         251G  36.0T      1    784  4.33K   739M
ost1         243G  36.0T      1    712  5.33K   661M
ost2         254G  36.0T      1    777  5.67K   722M
ost3         255G  36.0T      1    743     6K   689M
ost4         259G  36.0T      1    735  5.94K   681M
ost5         245G  36.0T      1    780  6.20K   725M
----------  -----  -----  -----  -----  -----  -----
ost0         310G  35.9T      1    765  6.61K   715M
ost1         287G  36.0T      1    723  4.94K   678M
ost2         300G  36.0T      2    679  8.14K   615M
ost3         308G  35.9T      1    776  6.61K   726M
ost4         311G  35.9T      1    732  6.93K   679M
ost5         299G  36.0T      1    773  5.88K   725M
----------  -----  -----  -----  -----  -----  -----
ost0         363G  35.9T      1    764     7K   714M
ost1         342G  35.9T      1    727  5.67K   664M
ost2         352G  35.9T      1    774     8K   722M
ost3         359G  35.9T      1    794  5.53K   752M
ost4         363G  35.9T      1    769  7.40K   718M
ost5         343G  35.9T      2    698     9K   637M
----------  -----  -----  -----  -----  -----  -----
ost0         402G  35.9T      1    702  7.60K   647M
ost1         393G  35.9T      1    751  5.33K   696M
ost2         404G  35.9T      1    778  5.33K   726M
ost3         418G  35.8T      1    770  6.47K   719M
ost4         415G  35.8T      1    726  6.73K   667M
ost5         396G  35.9T      1    781  6.40K   725M
----------  -----  -----  -----  -----  -----  -----
ost0         464G  35.8T      1    784  4.20K   728M
ost1         442G  35.8T      1    699  6.20K   635M
ost2         458G  35.8T      1    764  4.53K   704M
ost3         474G  35.8T      0    834  4.33K   778M
ost4         467G  35.8T      1    784  4.27K   723M
ost5         444G  35.8T      1    707  5.13K   640M
----------  -----  -----  -----  -----  -----  -----
ost0         516G  35.7T      0    804  3.81K   747M
ost1         483G  35.8T      1    654  5.07K   585M
ost2         510G  35.8T      0    768  3.40K   712M
ost3         522G  35.7T      1    730  4.01K   669M
ost4         522G  35.7T      0    807  4.21K   749M
ost5         495G  35.8T      1    722  5.60K   648M
----------  -----  -----  -----  -----  -----  -----
ost0         570G  35.7T      1    773  4.47K   721M
ost1         530G  35.7T      1    679  4.94K   611M
ost2         566G  35.7T      0    800  3.88K   751M
ost3         574G  35.7T      1    737  5.53K   677M
ost4         574G  35.7T      1    811  4.93K   755M
ost5         543G  35.7T      1    730  4.07K   655M
----------  -----  -----  -----  -----  -----  -----
ost0         628G  35.6T      1    800  6.13K   740M
ost1         580G  35.7T      1    738  4.73K   675M
ost2         619G  35.6T      1    789  4.20K   730M
ost3         624G  35.6T      1    768  5.27K   706M
ost4         623G  35.6T      1    697  6.67K   616M
ost5         598G  35.7T      1    810  4.40K   750M
----------  -----  -----  -----  -----  -----  -----
