               capacity     operations    bandwidth
pool        alloc   free   read  write   read  write
----------  -----  -----  -----  -----  -----  -----
ost0         480K  29.0T      0      2  22.3K  82.7K
ost1         684K  29.0T      0      3  22.6K  85.9K
ost2         684K  29.0T      0      3  23.0K  87.3K
ost3         684K  29.0T      0      3  23.4K  89.0K
ost4         468K  29.0T      0      2  23.9K  84.1K
ost5         480K  29.0T      0      3  24.3K  90.0K
----------  -----  -----  -----  -----  -----  -----
ost0        73.1G  28.9T      5  1.37K   373K  1.23G
ost1        73.1G  28.9T      2  1.33K   163K  1.25G
ost2        69.7G  28.9T      3  1.28K   227K  1.19G
ost3        73.5G  28.9T      4  1.36K   306K  1.24G
ost4        74.3G  28.9T      4  1.37K   320K  1.24G
ost5        70.8G  28.9T      3  1.31K   214K  1.22G
----------  -----  -----  -----  -----  -----  -----
ost0         149G  28.9T      7  1.38K   450K  1.27G
ost1         154G  28.8T      2  1.37K   161K  1.33G
ost2         148G  28.9T      3  1.36K   253K  1.29G
ost3         151G  28.9T      6  1.39K   398K  1.28G
ost4         152G  28.9T      6  1.42K   420K  1.31G
ost5         150G  28.9T      3  1.36K   220K  1.30G
----------  -----  -----  -----  -----  -----  -----
ost0         228G  28.8T      6  1.41K   428K  1.30G
ost1         232G  28.8T      3  1.36K   236K  1.30G
ost2         229G  28.8T      2  1.39K   173K  1.35G
ost3         228G  28.8T      6  1.39K   415K  1.28G
ost4         229G  28.8T      7  1.38K   476K  1.26G
ost5         227G  28.8T      3  1.34K   249K  1.28G
----------  -----  -----  -----  -----  -----  -----
ost0         305G  28.7T      6  1.41K   435K  1.29G
ost1         308G  28.7T      3  1.35K   223K  1.28G
ost2         306G  28.7T      3  1.37K   197K  1.30G
ost3         306G  28.7T      5  1.41K   352K  1.31G
ost4         305G  28.7T      6  1.39K   422K  1.27G
ost5         304G  28.7T      3  1.35K   249K  1.28G
----------  -----  -----  -----  -----  -----  -----
ost0         383G  28.6T      6  1.42K   435K  1.30G
ost1         387G  28.6T      2  1.37K   170K  1.31G
ost2         385G  28.6T      2  1.37K   189K  1.30G
ost3         384G  28.6T      5  1.42K   325K  1.32G
ost4         383G  28.6T      6  1.43K   416K  1.31G
ost5         381G  28.6T      3  1.37K   212K  1.29G
----------  -----  -----  -----  -----  -----  -----
ost0         462G  28.5T      6  1.43K   411K  1.31G
ost1         465G  28.5T      3  1.39K   211K  1.32G
ost2         462G  28.5T      3  1.36K   227K  1.29G
ost3         461G  28.5T      6  1.39K   431K  1.27G
ost4         463G  28.5T      6  1.43K   401K  1.31G
ost5         457G  28.6T      4  1.34K   279K  1.26G
----------  -----  -----  -----  -----  -----  -----
